subject_id,onset_s,duration_s,type,score
ins9,207.0,9.0,phasic,0.0767
ins9,675.0,9.0,phasic,0.4556
ins9,4767.0,6.0,phasic,0.1533
ins9,6420.0,3.0,negative,0.0
ins9,6864.0,3.0,negative,0.0
ins9,7812.0,3.0,negative,0.0
ins9,7884.0,3.0,negative,0.0
ins9,8799.0,36.0,tonic,1.0
ins9,8985.0,9.0,phasic,0.2978
ins9,9306.0,9.0,any,0.7278
ins9,9678.0,6.0,phasic,0.4233
ins9,13041.0,3.0,negative,0.0
ins9,14067.0,18.0,tonic,0.9889
ins9,15402.0,9.0,any,0.6189
ins9,15747.0,27.0,phasic,0.4041
ins9,15855.0,6.0,phasic,0.1033
ins9,16062.0,3.0,negative,0.0
ins9,21003.0,12.0,phasic,0.5475
ins9,21153.0,18.0,tonic,0.9306
ins9,21192.0,6.0,phasic,0.1167
ins9,22407.0,3.0,phasic,0.3933
ins9,22836.0,3.0,negative,0.0
ins9,23331.0,3.0,negative,0.0
ins9,23847.0,9.0,any,0.7567
ins9,24048.0,21.0,phasic,0.5095
ins9,24420.0,51.0,tonic,0.9918
ins9,24495.0,57.0,tonic,0.9695
ins9,24612.0,3.0,negative,0.0
ins9,25368.0,3.0,negative,0.0
ins9,25407.0,6.0,phasic,0.1967
ins9,26643.0,15.0,tonic,0.9967
ins9,26721.0,18.0,tonic,0.9639
ins9,27132.0,6.0,phasic,0.3
ins9,27150.0,60.0,tonic,0.9697
ins9,27492.0,33.0,tonic,0.9927
ins9,27576.0,27.0,tonic,0.9385
ins9,27621.0,18.0,tonic,0.9528
ins9,27684.0,48.0,tonic,0.9931
ins9,27813.0,15.0,any,0.6193
ins9,27891.0,33.0,tonic,0.9624
ins9,28053.0,21.0,tonic,0.9476
ins9,28203.0,18.0,tonic,1.0
ins9,28311.0,51.0,tonic,0.9602
ins9,28419.0,9.0,phasic,0.4556
ins9,28428.0,39.0,tonic,1.0
ins9,28764.0,15.0,tonic,0.958
ins9,28926.0,21.0,any,0.8348
ins9,28962.0,15.0,any,0.894
ins9,29157.0,24.0,tonic,0.9663
ins9,29310.0,30.0,any,0.8727
ins9,29346.0,21.0,tonic,0.9019
ins9,29460.0,18.0,tonic,1.0
ins9,29544.0,21.0,tonic,0.9295
ins9,29589.0,24.0,tonic,0.9821
ins9,29736.0,18.0,tonic,0.9978
ins9,29814.0,30.0,tonic,0.916
ins9,29871.0,21.0,tonic,0.9381
ins9,30042.0,24.0,tonic,0.9471
ins9,30147.0,15.0,tonic,1.0
ins9,30321.0,24.0,tonic,1.0
ins9,30348.0,30.0,any,0.7803
ins9,30378.0,21.0,tonic,0.929
ins9,30459.0,21.0,tonic,0.9343
ins9,30480.0,27.0,any,0.7337
ins9,30516.0,18.0,tonic,0.8506
ins9,30642.0,24.0,tonic,0.9879
ins9,30729.0,18.0,tonic,0.9222
ins9,30750.0,24.0,tonic,0.9533
ins9,30783.0,9.0,any,0.6844
ins9,30798.0,66.0,tonic,0.9626
ins9,30879.0,24.0,tonic,0.9762
ins9,30948.0,27.0,tonic,0.9763
ins9,30996.0,18.0,tonic,0.9222
ins9,31044.0,33.0,tonic,0.9588
ins9,31107.0,6.0,phasic,0.6283
ins9,31182.0,27.0,tonic,1.0
ins9,31212.0,15.0,tonic,0.9187
ins9,31254.0,15.0,tonic,0.9833
ins9,31362.0,39.0,tonic,1.0
ins9,31413.0,30.0,tonic,1.0
