subject_id,onset_s,duration_s,type,score
plm7,600.0,18.0,tonic,0.94
plm7,768.0,15.0,tonic,0.9153
plm7,798.0,30.0,tonic,0.964
plm7,1314.0,24.0,tonic,0.9921
plm7,1650.0,18.0,tonic,0.9978
plm7,1875.0,39.0,tonic,1.0
plm7,2823.0,3.0,negative,0.0
plm7,3729.0,18.0,tonic,0.89
plm7,4026.0,18.0,tonic,0.9511
plm7,4599.0,3.0,phasic,0.0933
plm7,4905.0,27.0,tonic,1.0
plm7,4986.0,15.0,tonic,0.9533
plm7,6009.0,3.0,negative,0.0
plm7,6453.0,3.0,negative,0.0
plm7,7542.0,15.0,phasic,0.2927
plm7,7893.0,3.0,negative,0.0
plm7,7896.0,3.0,phasic,0.08
plm7,9051.0,12.0,any,0.8467
plm7,9120.0,21.0,tonic,0.9848
plm7,9165.0,15.0,tonic,1.0
plm7,9507.0,12.0,any,0.7433
plm7,9546.0,24.0,tonic,1.0
plm7,9804.0,9.0,any,0.7289
plm7,9852.0,3.0,phasic,0.0333
plm7,10413.0,3.0,negative,0.0
plm7,11985.0,3.0,negative,0.0
plm7,13779.0,27.0,tonic,1.0
plm7,13818.0,9.0,any,0.5833
plm7,14064.0,18.0,tonic,0.95
plm7,14259.0,18.0,tonic,0.955
plm7,14364.0,30.0,tonic,0.9757
plm7,14418.0,9.0,any,0.6322
plm7,14586.0,18.0,tonic,0.9511
plm7,14670.0,18.0,tonic,0.9022
plm7,14877.0,21.0,phasic,0.5524
plm7,15114.0,21.0,tonic,0.9148
plm7,15183.0,24.0,tonic,0.995
plm7,15522.0,3.0,negative,0.0
plm7,16203.0,21.0,tonic,1.0
plm7,16365.0,18.0,tonic,0.9261
plm7,16536.0,24.0,tonic,0.9517
plm7,16668.0,27.0,tonic,0.9167
plm7,16734.0,18.0,tonic,0.9367
plm7,17061.0,33.0,phasic,0.4085
plm7,17268.0,15.0,phasic,0.2867
plm7,17559.0,21.0,tonic,0.9767
plm7,17583.0,45.0,tonic,0.9613
plm7,17652.0,18.0,tonic,1.0
plm7,17730.0,33.0,tonic,0.9948
plm7,17844.0,57.0,tonic,0.9884
plm7,17901.0,6.0,phasic,0.1817
plm7,17916.0,75.0,tonic,0.9828
plm7,18039.0,36.0,tonic,1.0
plm7,18156.0,33.0,tonic,0.9903
plm7,18243.0,18.0,tonic,0.9678
plm7,18348.0,15.0,tonic,0.9893
plm7,18615.0,18.0,tonic,0.8422
plm7,19029.0,18.0,tonic,0.9944
plm7,19128.0,60.0,tonic,0.9618
plm7,19191.0,27.0,tonic,0.997
plm7,19365.0,24.0,tonic,0.9329
plm7,19413.0,15.0,tonic,1.0
plm7,19434.0,162.0,tonic,0.991
plm7,19605.0,120.0,tonic,0.9517
plm7,19728.0,33.0,tonic,0.98
plm7,19794.0,24.0,tonic,0.9592
plm7,19845.0,15.0,tonic,0.9833
plm7,20553.0,18.0,tonic,0.9194
plm7,20745.0,21.0,tonic,0.9438
plm7,20784.0,30.0,any,0.704
plm7,20982.0,18.0,tonic,0.9206
plm7,21264.0,6.0,phasic,0.1683
plm7,21318.0,18.0,tonic,0.8822
plm7,22533.0,21.0,tonic,0.9319
plm7,22554.0,6.0,phasic,0.345
plm7,22767.0,21.0,phasic,0.439
plm7,23070.0,21.0,tonic,0.9338
plm7,23190.0,18.0,tonic,0.9994
plm7,24447.0,3.0,negative,0.0
plm7,24501.0,3.0,negative,0.0
plm7,25377.0,18.0,tonic,0.9167
plm7,25458.0,15.0,any,0.8027
plm7,25482.0,21.0,tonic,0.9433
plm7,25503.0,21.0,phasic,0.4938
plm7,25560.0,12.0,any,0.7642
plm7,25692.0,18.0,tonic,0.9111
plm7,25773.0,15.0,tonic,0.9427
plm7,25872.0,18.0,tonic,0.9422
plm7,26034.0,15.0,any,0.7493
plm7,26049.0,6.0,phasic,0.1183
plm7,26280.0,12.0,any,0.7275
plm7,26337.0,3.0,negative,0.0
plm7,26808.0,21.0,tonic,0.9833
plm7,27075.0,15.0,tonic,0.986
plm7,27243.0,3.0,phasic,0.0367
plm7,28191.0,15.0,tonic,0.9587
plm7,28842.0,27.0,tonic,0.9852
plm7,29046.0,9.0,phasic,0.54
