subject_id,onset_s,duration_s,type,score
ins4,12411.0,21.0,phasic,0.582
ins4,12540.0,15.0,phasic,0.657
ins4,12696.0,60.0,phasic,0.569
ins4,12804.0,18.0,phasic,0.707
ins4,12834.0,15.0,phasic,0.589
ins4,12903.0,18.0,phasic,0.598
ins4,12942.0,24.0,phasic,0.686
ins4,13044.0,24.0,phasic,0.68
ins4,13113.0,21.0,phasic,0.67
ins4,13146.0,15.0,phasic,0.662
ins4,13167.0,66.0,phasic,0.761
ins4,14478.0,21.0,phasic,0.716
ins4,15183.0,21.0,phasic,0.635
ins4,15255.0,15.0,phasic,0.615
ins4,15438.0,33.0,phasic,0.652
ins4,16254.0,15.0,phasic,0.675
ins4,16404.0,15.0,phasic,0.545
ins4,16551.0,18.0,phasic,0.633
ins4,16611.0,21.0,phasic,0.675
ins4,16668.0,9.0,phasic,0.512
ins4,16728.0,6.0,phasic,
ins4,16749.0,12.0,phasic,0.483
ins4,17115.0,12.0,phasic,0.506
ins4,17355.0,15.0,phasic,0.657
ins4,17415.0,12.0,phasic,0.527
ins4,17511.0,15.0,phasic,0.567
ins4,17523.0,9.0,phasic,
ins4,17586.0,15.0,phasic,0.598
ins4,17688.0,21.0,phasic,0.533
ins4,17718.0,24.0,phasic,0.628
ins4,17748.0,12.0,phasic,0.613
ins4,17787.0,12.0,phasic,0.582
ins4,17856.0,30.0,phasic,0.622
ins4,17976.0,15.0,phasic,0.695
ins4,18159.0,57.0,phasic,0.677
ins4,18273.0,27.0,phasic,0.685
ins4,18537.0,39.0,phasic,0.691
ins4,18579.0,15.0,phasic,0.591
ins4,18606.0,18.0,phasic,0.459
ins4,18687.0,15.0,phasic,0.496
ins4,18732.0,15.0,phasic,0.598
ins4,19002.0,21.0,phasic,0.603
ins4,19284.0,12.0,phasic,0.603
ins4,19551.0,15.0,phasic,0.641
ins4,19896.0,18.0,phasic,0.636
ins4,20094.0,15.0,phasic,0.551
ins4,20367.0,15.0,phasic,0.604
ins4,20511.0,99.0,phasic,0.705
ins4,20646.0,6.0,phasic,
ins4,20649.0,21.0,phasic,0.711
ins4,20670.0,6.0,phasic,
ins4,20787.0,18.0,phasic,0.745
ins4,20880.0,12.0,phasic,0.453
ins4,21168.0,18.0,phasic,0.737
ins4,21198.0,3.0,phasic,0.408
ins4,21201.0,6.0,phasic,
ins4,21204.0,3.0,phasic,0.407
ins4,21231.0,30.0,phasic,0.589
ins4,21453.0,21.0,phasic,0.712
ins4,21813.0,39.0,phasic,0.69
ins4,21975.0,15.0,phasic,0.657
ins4,22050.0,12.0,phasic,0.578
ins4,22356.0,21.0,phasic,0.565
ins4,22434.0,15.0,phasic,0.477
ins4,22563.0,15.0,phasic,0.571
ins4,22650.0,69.0,phasic,0.674
ins4,22812.0,12.0,phasic,0.557
ins4,22839.0,18.0,phasic,0.592
ins4,23385.0,27.0,phasic,0.613
ins4,24324.0,15.0,phasic,0.617
ins4,24492.0,39.0,phasic,0.664
ins4,24606.0,12.0,phasic,0.488
ins4,24954.0,18.0,phasic,0.654
ins4,25167.0,15.0,phasic,0.634
ins4,25302.0,9.0,phasic,
ins4,25308.0,18.0,phasic,0.494
ins4,25326.0,6.0,phasic,
ins4,25383.0,12.0,phasic,0.432
ins4,25419.0,12.0,phasic,0.679
ins4,25434.0,12.0,phasic,0.668
ins4,25551.0,15.0,phasic,0.604
ins4,25668.0,30.0,phasic,0.666
ins4,25854.0,12.0,phasic,0.479
ins4,25914.0,15.0,phasic,0.693
ins4,26058.0,21.0,phasic,0.654
ins4,26160.0,15.0,phasic,0.687
ins4,26193.0,12.0,phasic,0.587
ins4,26208.0,15.0,phasic,0.679
ins4,26277.0,15.0,phasic,0.59
ins4,26463.0,12.0,phasic,0.607
ins4,26529.0,18.0,phasic,0.595
ins4,26691.0,12.0,phasic,0.604
ins4,26868.0,27.0,phasic,0.692
ins4,26949.0,39.0,phasic,0.755
ins4,27156.0,48.0,phasic,0.644
ins4,27210.0,63.0,phasic,0.622
ins4,27333.0,9.0,phasic,0.47
ins4,27465.0,15.0,phasic,0.631
ins4,28095.0,12.0,phasic,0.43
ins4,28293.0,21.0,phasic,0.682
ins4,28323.0,30.0,phasic,0.638
ins4,28440.0,15.0,phasic,0.613
ins4,29016.0,18.0,phasic,0.643
ins4,29361.0,21.0,phasic,0.541
ins4,29472.0,15.0,phasic,0.578
ins4,29502.0,18.0,phasic,0.695
ins4,29610.0,36.0,phasic,0.65
